name,synonyms,category,status_general,risk_level,risk_notes,allergen_flags,diet_tags,environmental_notes,evidence_grade,jurisdiction_status,typical_use,source_citations,last_reviewed,avoid_if
Sodium Adipic Salt,,Buffer,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candies,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Potassium Adipic Salt,,Buffer,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candies,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Calcium Adipic Salt,,Buffer,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candies,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Magnesium Adipic Salt,,Buffer,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candies,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Ammonium Adipic Salt,,Buffer,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candies,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Sodium Gluconic Salt,,Buffer,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candies,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Potassium Gluconic Salt,,Buffer,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candies,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Calcium Gluconic Salt,,Buffer,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candies,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Magnesium Gluconic Salt,,Buffer,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candies,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Ammonium Gluconic Salt,,Buffer,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candies,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Apple Juice Concentrate,,Fruit Ingredient,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Pear Juice Concentrate,,Fruit Ingredient,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
White Grape Juice Concentrate,,Fruit Ingredient,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Red Grape Juice Concentrate,,Fruit Ingredient,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Orange Juice Concentrate,,Fruit Ingredient,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Lemon Juice Concentrate,,Fruit Ingredient,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Lime Juice Concentrate,,Fruit Ingredient,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Pineapple Juice Concentrate,,Fruit Ingredient,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Mango Juice Concentrate,,Fruit Ingredient,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Peach Juice Concentrate,,Fruit Ingredient,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Strawberry Juice Concentrate,,Fruit Ingredient,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Blueberry Juice Concentrate,,Fruit Ingredient,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Cherry Juice Concentrate,,Fruit Ingredient,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Pomegranate Juice Concentrate,,Fruit Ingredient,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Cranberry Juice Concentrate,,Fruit Ingredient,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Grapefruit Juice Concentrate,,Fruit Ingredient,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Tangerine Juice Concentrate,,Fruit Ingredient,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Passionfruit Juice Concentrate,,Fruit Ingredient,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Taco Seasoning,Composite seasoning,Seasoning,Approved,Moderate,High sodium; flavor enhancers possible,None,varies,—,B,Approved widely,Snack coatings; fast‑food seasonings,FDA; EFSA; USDA; PubChem,2025-08-20,None
BBQ Seasoning,Composite seasoning,Seasoning,Approved,Moderate,High sodium; flavor enhancers possible,None,varies,—,B,Approved widely,Snack coatings; fast‑food seasonings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Ranch Seasoning Blend,Composite seasoning,Seasoning,Approved,Moderate,High sodium; flavor enhancers possible,None,varies,—,B,Approved widely,Snack coatings; fast‑food seasonings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Buffalo Seasoning,Composite seasoning,Seasoning,Approved,Moderate,High sodium; flavor enhancers possible,None,varies,—,B,Approved widely,Snack coatings; fast‑food seasonings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Garlic Herb Seasoning,Composite seasoning,Seasoning,Approved,Moderate,High sodium; flavor enhancers possible,None,varies,—,B,Approved widely,Snack coatings; fast‑food seasonings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Cheddar Seasoning,Composite seasoning,Seasoning,Approved,Moderate,High sodium; flavor enhancers possible,None,varies,—,B,Approved widely,Snack coatings; fast‑food seasonings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Sour Cream & Onion Seasoning,Composite seasoning,Seasoning,Approved,Moderate,High sodium; flavor enhancers possible,None,varies,—,B,Approved widely,Snack coatings; fast‑food seasonings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Salt & Vinegar Seasoning,Composite seasoning,Seasoning,Approved,Moderate,High sodium; flavor enhancers possible,None,varies,—,B,Approved widely,Snack coatings; fast‑food seasonings,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Cheese Powder Blend,Composite seasoning,Seasoning,Approved,Moderate,High sodium; flavor enhancers possible,None,varies,—,B,Approved widely,Snack coatings; fast‑food seasonings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Chicken Flavor Seasoning,Composite seasoning,Seasoning,Approved,Moderate,High sodium; flavor enhancers possible,None,varies,—,B,Approved widely,Snack coatings; fast‑food seasonings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Beef Flavor Seasoning,Composite seasoning,Seasoning,Approved,Moderate,High sodium; flavor enhancers possible,None,varies,—,B,Approved widely,Snack coatings; fast‑food seasonings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Calcium Sulfate,,Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various,FDA; EFSA; USDA; PubChem,2025-08-20,None
Potassium Sorbate (Spray),,Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various,FDA; EFSA; USDA; PubChem,2025-08-20,None
Sodium Propionate,,Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Calcium Propionate (Liquid),,Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various,FDA; EFSA; USDA; PubChem,2025-08-20,None
Sodium Alginate (Powder),,Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Rice Bran Oil,,Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various,FDA; EFSA; USDA; PubChem,2025-08-20,None
Grape Seed Oil,,Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various,FDA; EFSA; USDA; PubChem,2025-08-20,None
Avocado Oil,,Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various,FDA; EFSA; USDA; PubChem,2025-08-20,None
Mustard Oil,,Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various,FDA; EFSA; USDA; PubChem,2025-08-20,None
Sesame Oil,,Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various,FDA; EFSA; USDA; PubChem,2025-08-20,None
Perilla Oil,,Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various,FDA; EFSA; USDA; PubChem,2025-08-20,None
Dehydrated Potato Flakes,,Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various,FDA; EFSA; USDA; PubChem,2025-08-20,None
Dehydrated Potato Granules,,Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various,FDA; EFSA; USDA; PubChem,2025-08-20,None
Corn Grits,,Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various,FDA; EFSA; USDA; PubChem,2025-08-20,None
Corn Meal,,Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various,FDA; EFSA; USDA; PubChem,2025-08-20,None
Grits (Hominy),,Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various,FDA; EFSA; USDA; PubChem,2025-08-20,None
Textured Wheat Protein,,Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various,FDA; EFSA; USDA; PubChem,2025-08-20,None
Soy Grits,,Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various,FDA; EFSA; USDA; PubChem,2025-08-20,None
Defatted Soy Flour,,Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various,FDA; EFSA; USDA; PubChem,2025-08-20,None
Full‑Fat Soy Flour,,Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various,FDA; EFSA; USDA; PubChem,2025-08-20,None
Oat Bran,,Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various,FDA; EFSA; USDA; PubChem,2025-08-20,None
Wheat Bran,,Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various,FDA; EFSA; USDA; PubChem,2025-08-20,None
Rice Bran,,Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various,FDA; EFSA; USDA; PubChem,2025-08-20,None
Psyllium Husk,,Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various,FDA; EFSA; USDA; PubChem,2025-08-20,None
Guar Fiber,,Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various,FDA; EFSA; USDA; PubChem,2025-08-20,None
Apple Fiber,,Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various,FDA; EFSA; USDA; PubChem,2025-08-20,None
Citrus Fiber,,Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various,FDA; EFSA; USDA; PubChem,2025-08-20,None
Bamboo Fiber,,Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various,FDA; EFSA; USDA; PubChem,2025-08-20,None
Pea Fiber,,Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various,FDA; EFSA; USDA; PubChem,2025-08-20,None
Sugar Cane Fiber,,Ingredient,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Various,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Cola),Natural flavor,Flavoring,Approved,Low,,None,vegan,Low direct impact,B,Approved in many jurisdictions,,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Cherry Cola),Natural flavor,Flavoring,Approved,Low,,None,vegan,Low direct impact,B,Approved in many jurisdictions,,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Vanilla Cola),Natural flavor,Flavoring,Approved,Low,,None,vegan,Low direct impact,B,Approved in many jurisdictions,,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Lemon‑Lime),Natural flavor,Flavoring,Approved,Low,,None,vegan,Low direct impact,B,Approved in many jurisdictions,,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Orange Soda),Natural flavor,Flavoring,Approved,Low,,None,vegan,Low direct impact,B,Approved in many jurisdictions,,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Ginger Ale),Natural flavor,Flavoring,Approved,Low,,None,vegan,Low direct impact,B,Approved in many jurisdictions,,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Root Beer),Natural flavor,Flavoring,Approved,Low,,None,vegan,Low direct impact,B,Approved in many jurisdictions,,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Cream Soda),Natural flavor,Flavoring,Approved,Low,,None,vegan,Low direct impact,B,Approved in many jurisdictions,,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Grape Soda),Natural flavor,Flavoring,Approved,Low,,None,vegan,Low direct impact,B,Approved in many jurisdictions,,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Fruit Punch),Natural flavor,Flavoring,Approved,Low,,None,vegan,Low direct impact,B,Approved in many jurisdictions,,FDA; EFSA; USDA; PubChem,2025-08-20,None
Corn Flakes,Composite,Inclusion,Approved,Moderate,High sugar/salt possible,None,vegetarian,—,B,Approved widely,Snack and dessert inclusions,FDA; EFSA; USDA; PubChem,2025-08-20,None
Rice Crisps,Composite,Inclusion,Approved,Moderate,High sugar/salt possible,None,vegetarian,—,B,Approved widely,Snack and dessert inclusions,FDA; EFSA; USDA; PubChem,2025-08-20,None
Oat Crisps,Composite,Inclusion,Approved,Moderate,High sugar/salt possible,None,vegetarian,—,B,Approved widely,Snack and dessert inclusions,FDA; EFSA; USDA; PubChem,2025-08-20,None
Chocolate Cereal Pieces,Composite,Inclusion,Approved,Moderate,High sugar/salt possible,None,vegetarian,—,B,Approved widely,Snack and dessert inclusions,FDA; EFSA; USDA; PubChem,2025-08-20,None
Cocoa Puffs,Composite,Inclusion,Approved,Moderate,High sugar/salt possible,None,vegetarian,—,B,Approved widely,Snack and dessert inclusions,FDA; EFSA; USDA; PubChem,2025-08-20,None
Fruity Cereal Bits,Composite,Inclusion,Approved,Moderate,High sugar/salt possible,None,vegetarian,—,B,Approved widely,Snack and dessert inclusions,FDA; EFSA; USDA; PubChem,2025-08-20,None
Granola Clusters,Composite,Inclusion,Approved,Moderate,High sugar/salt possible,None,vegetarian,—,B,Approved widely,Snack and dessert inclusions,FDA; EFSA; USDA; PubChem,2025-08-20,None
Cookie Crumbs,Composite,Inclusion,Approved,Moderate,High sugar/salt possible,None,vegetarian,—,B,Approved widely,Snack and dessert inclusions,FDA; EFSA; USDA; PubChem,2025-08-20,None
Brownie Pieces,Composite,Inclusion,Approved,Moderate,High sugar/salt possible,None,vegetarian,—,B,Approved widely,Snack and dessert inclusions,FDA; EFSA; USDA; PubChem,2025-08-20,None
Pretzel Pieces,Composite,Inclusion,Approved,Moderate,High sugar/salt possible,None,vegetarian,—,B,Approved widely,Snack and dessert inclusions,FDA; EFSA; USDA; PubChem,2025-08-20,None
E140 Chlorophylls,,Additive,Approved,Low,,None,vegan,Low direct impact,B,Approved in many jurisdictions,Various processed foods,FDA; EFSA; USDA; PubChem,2025-08-20,None
E141 Copper Complexes of Chlorophylls,,Additive,Approved,Low,,None,vegan,Low direct impact,B,Approved in many jurisdictions,Various processed foods,FDA; EFSA; USDA; PubChem,2025-08-20,None
E160e Beta‑apo‑8'‑carotenal,,Additive,Approved,Low,,None,vegan,Low direct impact,B,Approved in many jurisdictions,Various processed foods,FDA; EFSA; USDA; PubChem,2025-08-20,None
E407a Processed Eucheuma Seaweed,,Additive,Approved,Low,,None,vegan,Low direct impact,B,Approved in many jurisdictions,Various processed foods,FDA; EFSA; USDA; PubChem,2025-08-20,None
E262 Potassium Acetates,,Additive,Approved,Low,,None,vegan,Low direct impact,B,Approved in many jurisdictions,Various processed foods,FDA; EFSA; USDA; PubChem,2025-08-20,None
E471 Mono- and Diglycerides (Alt),,Additive,Approved,Low,,None,vegan,Low direct impact,B,Approved in many jurisdictions,Various processed foods,FDA; EFSA; USDA; PubChem,2025-08-20,None
E472c Citric Esters of Mono- and Diglycerides,,Additive,Approved,Low,,None,vegan,Low direct impact,B,Approved in many jurisdictions,Various processed foods,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Berry Blend 1),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; confections,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Berry Blend 2),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; confections,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Berry Blend 3),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; confections,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Berry Blend 4),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; confections,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Berry Blend 5),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; confections,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Berry Blend 6),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; confections,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Berry Blend 7),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; confections,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Berry Blend 8),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; confections,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Berry Blend 9),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; confections,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Berry Blend 10),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; confections,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavor (Berry Blend 11),Natural flavor,Flavoring,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; confections,FDA; EFSA; USDA; PubChem,2025-08-20,None
